Time	Open	High	Low	Close	Volume
2008-03-05 00:00:00	964.659	992.65	959.28	985.517	1412
2008-03-06 00:00:00	985.545	991.84	965.667	980.247	1408
2008-03-07 00:00:00	980.257	987.487	969.552	972.523	1255
2008-03-09 00:00:00	972.348	976.847	970.165	972.108	205
2008-03-10 00:00:00	972.182	980.428	961.151	973.092	1404
2008-03-11 00:00:00	973.21	985.136	965.598	973.813	1406
2008-03-12 00:00:00	973.735	984.094	968.088	984.079	1393
2008-03-13 00:00:00	984.15	999.314	981.13	993.529	1409
2008-03-14 00:00:00	993.516	1006.82	990.377	1002.248	1179
2008-03-16 00:00:00	1000.741	1021.309	1000.712	1021.194	203
2008-03-17 00:00:00	1021.268	1031.828	993.962	995.445	1402
2008-03-18 00:00:00	995.388	1011.773	976.493	987.001	1418
2008-03-19 00:00:00	986.98	996.772	919.819	919.943	1420
2008-03-20 00:00:00	919.811	938.779	904.303	910.951	1320
2008-03-21 00:00:00	910.903	919.003	910.55	918.848	545
2008-03-23 00:00:00	918.83	920.98	911.138	914.373	209
2008-03-24 00:00:00	914.139	926.347	906.229	918.261	1400
2008-03-25 00:00:00	918.368	941.431	917.701	940.233	1406
2008-03-26 00:00:00	940.099	954.519	934.26	953.588	1406
2008-03-27 00:00:00	953.61	954.417	939.952	945.736	1402
2008-03-28 00:00:00	945.564	946.448	923.014	930.73	1192
2008-03-30 00:00:00	929.747	932.278	926.512	930.033	201
2008-03-31 00:00:00	929.992	940.385	912.2	917.493	1408
2008-04-01 00:00:00	917.567	919.302	874.073	889.995	1406
2008-04-02 00:00:00	889.916	905.375	881.4	902.081	1412
2008-04-03 00:00:00	902.177	907.896	889.566	902.503	1396
2008-04-04 00:00:00	902.441	914.29	899.977	913.08	1176
2008-04-06 00:00:00	912.658	916.853	912.617	915.518	196
2008-04-07 00:00:00	915.541	928.835	910.843	924.977	1397
2008-04-08 00:00:00	925.02	925.295	908.432	916.989	1398
2008-04-09 00:00:00	916.98	935.214	902.843	933.008	1377
2008-04-10 00:00:00	932.966	939.348	921.515	924.456	1392
2008-04-11 00:00:00	924.487	931.424	918.304	924.63	1182
2008-04-13 00:00:00	924.697	924.835	914.124	916.53	192
2008-04-14 00:00:00	916.441	930.896	913.858	926.912	1392
2008-04-15 00:00:00	926.969	935.759	925.325	926.292	1382
2008-04-16 00:00:00	926.246	948.368	924.12	942.644	1379
2008-04-17 00:00:00	942.778	952.57	937.039	940.684	1399
2008-04-18 00:00:00	940.703	946.336	904.429	916.104	1181
2008-04-20 00:00:00	915.748	922.108	915.699	921.713	208
2008-04-21 00:00:00	921.821	927.988	911.183	913.412	1388
2008-04-22 00:00:00	913.541	924.896	911.534	919.754	1379
2008-04-23 00:00:00	919.634	922.284	896.882	903.577	1386
2008-04-24 00:00:00	903.62	905.998	882.794	885.483	1375
2008-04-25 00:00:00	885.633	895.927	877.594	885	1184
2008-04-27 00:00:00	884.919	891.233	884.817	890.506	204
2008-04-28 00:00:00	890.411	895.144	886.958	891.09	1383
2008-04-29 00:00:00	891.2	891.825	868.134	872.685	1382
2008-04-30 00:00:00	872.663	879.989	862.156	879.113	1399
2008-05-01 00:00:00	879.159	881.372	846.641	849.945	1389
2008-05-02 00:00:00	849.946	858.725	846.705	855.216	1182
2008-05-04 00:00:00	855.197	862.792	855.076	862.218	187
2008-05-05 00:00:00	862.331	873.879	860.837	872.166	1391
2008-05-06 00:00:00	872.211	882.614	871.613	878.391	1377
2008-05-07 00:00:00	878.459	878.953	863.799	867.754	1393
2008-05-08 00:00:00	867.842	885.347	864.974	882.591	1392
2008-05-09 00:00:00	882.589	889.298	870.06	883.657	1178
2008-05-11 00:00:00	883.647	889.347	881.334	888.269	201
2008-05-12 00:00:00	888.314	888.606	877.373	881.679	1400
2008-05-13 00:00:00	881.724	883.401	861.024	867.008	1395
2008-05-14 00:00:00	866.974	870.297	859.769	864.126	1381
2008-05-15 00:00:00	864.149	887.027	861.657	880.352	1387
2008-05-16 00:00:00	880.478	904.167	879.923	901.233	1171
2008-05-18 00:00:00	901.069	905.673	900.999	904.321	203
2008-05-19 00:00:00	904.281	913.406	900.324	903.332	1370
